mirna	HC1-Th17	HC2-nonTh17	HC2-Th17	HC3-nonTh17	HC3-Th17	HC4-nonTh17	HC4-Th17	AS1-nonTh17	AS1-Th17AS2-nonTh17	AS2-Th17	AS3-nonTh17	AS4-nonTh17
hsa-miR-19b-1-5p	17	53	35	18	25	46	43	88	13	13	0	1	33
hsa-miR-19b-2-5p	0	0	0	0	0	0	0	0	0	0	0	0	0
hsa-miR-19b-3p	0	3	1	3	0	2	0	1	0	0	0	0	2
hsa-miR-200a-3p	2	42	22	3	5	3	0	15	7	4	0	14	29
hsa-miR-200a-5p	0	4	0	2	0	0	1	0	0	0	0	0	0
hsa-miR-200b-3p	1	42	50	39	14	4	6	37	12	17	4	18	39
hsa-miR-200b-5p	0	3	3	0	0	1	1	0	2	1	0	2	1
hsa-miR-200c-3p	24	279	319	235	180	194	27	363	212	84	0	608	328
hsa-miR-200c-5p	0	0	0	0	0	0	0	2	1	1	0	6	0
hsa-miR-202-3p	0	0	0	0	0	0	1	0	0	0	0	0	0
hsa-miR-202-5p	0	0	0	0	0	0	0	0	0	0	0	0	0
hsa-miR-203a	0	0	0	0	0	0	0	0	0	0	0	0	0
hsa-miR-203b-3p	0	0	0	0	0	0	0	0	0	0	0	0	0
hsa-miR-203b-5p	0	0	0	0	0	0	0	0	0	0	0	0	0
hsa-miR-204-3p	0	0	0	0	0	0	0	1	14	0	0	6	0
hsa-miR-204-5p	3	1	1	0	0	0	0	0	3	0	0	0	0
hsa-miR-205-3p	0	0	0	0	0	0	0	0	0	0	0	0	0
hsa-miR-205-5p	0	0	0	0	0	0	1	0	0	0	0	0	0
hsa-miR-2052	0	0	0	0	0	0	0	0	0	0	0	0	0
hsa-miR-2053	0	0	0	0	0	0	0	0	0	0	0	0	0
hsa-miR-2054	0	0	0	0	0	0	0	0	0	0	0	0	0
hsa-miR-206	16	1	39	3	304	0	5	2	30	0	0	0	1
hsa-miR-208a-3p	0	0	0	0	0	0	0	0	0	0	0	0	0
hsa-miR-208a-5p	0	0	0	0	0	0	0	0	0	0	0	0	0
hsa-miR-208b-3p	0	0	0	0	0	0	0	0	0	0	0	0	0
hsa-miR-208b-5p	0	0	0	0	0	0	0	0	0	0	0	0	0
hsa-miR-20a-3p	0	12	15	3	9	5	5	11	1	2	0	3	12
hsa-miR-20a-5p	290	4336	2622	1861	3212	1557	608	3030	1220	1294	24	1839	3915
hsa-miR-20b-3p	0	0	3	11	1	0	0	0	0	0	0	2	0
hsa-miR-20b-5p	1	29	105	287	110	16	10	39	29	13	0	152	19
hsa-miR-21-3p	20	1444	578	297	809	135	87	625	521	255	0	498	1159
hsa-miR-21-5p	44321	629528	582682	279220	664607	119748	58824	305213	248363	123544	5098	431480	552825
hsa-miR-210-3p	4	317	166	8	24	7	5	179	86	17	0	33	34
hsa-miR-210-5p	0	3	2	3	0	1	0	7	0	0	0	2	0
hsa-miR-211-3p	0	0	0	0	0	0	0	0	0	0	0	0	0
hsa-miR-211-5p	0	0	0	0	0	0	0	0	0	0	0	0	0
hsa-miR-2110	23	83	167	152	58	125	49	383	220	69	3	94	168
hsa-miR-2113	0	0	0	0	0	0	0	0	0	0	0	0	0
hsa-miR-2114-3p	0	0	0	0	0	0	0	0	0	0	0	0	0
hsa-miR-2114-5p	0	0	0	0	0	0	0	0	0	0	0	0	0
hsa-miR-2115-3p	0	0	2	2	0	0	0	0	0	0	0	0	0
hsa-miR-2115-5p	0	0	0	0	0	0	0	0	0	0	0	0	0
hsa-miR-2116-3p	1	0	3	0	0	1	1	0	0	0	0	0	0
hsa-miR-2116-5p	0	0	0	0	0	0	0	0	0	0	0	0	0
hsa-miR-2117	0	0	0	0	0	0	0	0	0	0	0	0	0
hsa-miR-212-3p	0	0	3	1	4	1	1	5	1	0	0	0	4
hsa-miR-212-5p	22	72	132	123	240	83	21	117	102	55	4	341	246
hsa-miR-214-3p	0	0	0	0	0	0	0	0	0	0	0	0	0
hsa-miR-214-5p	0	0	0	0	0	0	0	0	0	0	0	0	0
hsa-miR-215-3p	0	0	0	0	0	0	0	0	0	0	0	0	0
hsa-miR-215-5p	1	12	8	9	3	11	4	18	6	8	0	2	34
hsa-miR-216a-3p	0	0	0	0	0	0	0	0	0	0	0	0	0
hsa-miR-216a-5p	0	0	0	0	0	0	0	0	0	0	0	0	0
hsa-miR-216b-3p	0	0	0	0	0	0	0	0	0	0	0	0	0
hsa-miR-216b-5p	0	0	0	0	0	0	0	0	0	0	0	0	0
hsa-miR-217	0	0	0	0	0	0	0	0	0	0	0	0	0
hsa-miR-218-1-3p	0	0	0	0	0	0	0	0	0	0	0	0	0
hsa-miR-218-2-3p	0	0	0	0	0	0	0	0	0	0	0	0	0
hsa-miR-218-5p	0	0	0	0	0	0	0	0	0	0	0	0	0
hsa-miR-219a-1-3p	0	6	15	25	6	4	0	7	7	2	0	9	9
hsa-miR-219a-2-3p	0	0	0	0	0	0	0	0	0	0	0	0	0
hsa-miR-219a-5p	0	1	0	0	1	1	0	1	0	0	0	1	2
hsa-miR-219b-3p	0	0	0	0	0	0	0	0	0	0	0	0	1
hsa-miR-219b-5p	0	0	0	0	0	0	0	0	0	0	0	0	0
hsa-miR-22-3p	341	3550	4011	1358	3721	661	417	2697	2234	1324	23	1301	2709
hsa-miR-22-5p	18	102	116	49	98	25	12	54	71	27	0	22	51
hsa-miR-221-3p	187	1230	631	566	1250	281	187	979	658	263	16	581	657
hsa-miR-221-5p	62	693	567	470	551	369	126	383	383	211	10	367	805
hsa-miR-222-3p	640	3499	4419	3877	8216	1850	930	3404	3836	1466	69	6702	3947
hsa-miR-222-5p	15	46	30	13	32	18	9	29	13	7	0	33	37
hsa-miR-223-3p	0	2	3	0	1	0	0	4	4	2	0	0	6
hsa-miR-223-5p	3	19	52	20	9	10	1	19	11	1	0	4	8
hsa-miR-224-3p	0	0	0	0	0	0	0	0	0	0	0	0	0
hsa-miR-224-5p	1	0	0	0	0	0	0	2	1	0	0	7	1
hsa-miR-2276-3p	1	1	1	2	0	0	0	0	0	0	0	0	0
hsa-miR-2276-5p	0	0	0	0	0	0	0	0	0	0	0	0	0
hsa-miR-2277-3p	0	0	0	0	2	0	0	0	0	0	0	0	0
hsa-miR-2277-5p	0	5	2	6	7	1	0	2	1	3	0	6	5
hsa-miR-2278	0	0	0	1	3	0	0	0	0	0	0	0	2
hsa-miR-2355-3p	0	8	7	2	3	1	1	8	2	0	0	6	7
hsa-miR-2355-5p	0	3	1	0	0	0	0	0	0	0	0	0	3
hsa-miR-2392	0	0	0	0	0	0	0	0	0	0	0	0	0
hsa-miR-23a-3p	26	422	128	132	217	55	27	220	91	59	0	174	178
hsa-miR-23a-5p	9	138	92	59	69	33	28	88	181	47	0	110	71
hsa-miR-23b-3p	1	50	17	19	13	17	8	60	19	10	0	4	41
hsa-miR-23b-5p	0	2	6	4	7	1	0	2	5	1	0	2	6
hsa-miR-23c	0	0	0	0	0	0	0	1	0	0	0	0	0
hsa-miR-24-1-5p	0	0	0	0	0	0	0	0	0	0	0	0	0
hsa-miR-24-2-5p	17	287	245	77	145	39	10	107	95	52	2	136	149
hsa-miR-24-3p	1	4	1	0	1	3	0	0	0	0	0	2	2
hsa-miR-2467-3p	0	0	0	1	0	0	0	0	1	0	0	0	0
hsa-miR-2467-5p	0	0	0	0	0	0	0	0	3	0	0	2	0
hsa-miR-25-3p	435	6147	4118	2794	2219	1833	574	4490	2271	898	19	1899	3791
hsa-miR-25-5p	44	103	325	545	465	47	25	145	176	29	8	324	52
hsa-miR-2681-3p	0	0	0	0	0	0	0	0	0	0	0	0	0
hsa-miR-2681-5p	0	0	0	0	0	0	0	0	0	0	0	0	0
hsa-miR-2682-3p	0	0	0	0	0	0	0	0	0	0	0	0	0
hsa-miR-2682-5p	0	0	0	0	0	0	0	0	0	0	0	0	0
hsa-miR-26a-1-3p	0	0	0	0	0	0	0	0	0	0	0	0	0
hsa-miR-26a-2-3p	0	11	5	6	0	3	3	19	0	3	0	1	19
hsa-miR-26a-5p	0	7	4	2	0	1	0	3	5	1	0	1	8
hsa-miR-26b-3p	0	21	12	6	10	8	4	25	4	3	0	6	18
hsa-miR-26b-5p	178	7568	4265	2832	1492	4132	1574	7133	3013	3872	116	909	15147
hsa-miR-27a-3p	267	9999	5406	1216	3516	1208	864	3729	2811	2311	89	2191	7373
hsa-miR-27a-5p	277	3783	2069	1325	873	672	355	1649	1214	480	26	1678	1500
hsa-miR-27b-3p	70	1924	1501	436	387	407	175	913	423	293	20	422	1874
hsa-miR-27b-5p	3	8	16	18	27	1	1	2	7	3	0	11	7
hsa-miR-28-3p	34	245	281	224	169	173	68	644	325	132	4	254	440
hsa-miR-28-5p	3	91	94	73	62	60	22	139	96	63	1	54	333
hsa-miR-2861	0	0	0	0	0	0	0	0	0	0	0	0	0
hsa-miR-2909	0	0	0	0	0	0	0	0	0	0	0	0	0
hsa-miR-296-3p	0	3	8	7	8	3	1	4	7	1	0	11	10
hsa-miR-296-5p	0	0	1	0	2	6	1	10	2	0	0	0	2
hsa-miR-297	0	0	0	0	0	0	0	0	0	0	0	0	0
hsa-miR-298	0	0	0	0	0	0	0	0	0	0	0	0	0
hsa-miR-299-3p	0	0	0	0	0	0	0	0	0	0	0	0	0
hsa-miR-299-5p	0	0	0	0	0	0	0	0	1	0	0	0	0
hsa-miR-29a-3p	269	12856	6161	4575	4868	3659	1743	11998	6351	5451	115	4311	20417
hsa-miR-29a-5p	1	8	4	2	1	3	2	9	1	4	0	0	6
hsa-miR-29b-1-5p	9	29	31	32	39	18	14	36	20	15	0	44	62
hsa-miR-29b-2-5p	1	14	6	9	7	7	5	22	14	5	0	5	13
hsa-miR-29b-3p	0	8	2	0	1	1	2	6	1	2	0	0	5
hsa-miR-29c-3p	1	121	30	31	16	72	22	134	57	77	0	17	334
hsa-miR-29c-5p	1	24	9	7	2	21	4	40	7	9	0	2	45
hsa-miR-300	0	0	0	0	0	0	0	0	0	0	0	0	0
hsa-miR-301a-3p	0	13	1	0	0	0	1	0	1	0	0	3	2
hsa-miR-301a-5p	0	17	11	18	10	0	2	1	0	4	0	14	7
hsa-miR-301b	0	5	1	0	0	0	0	1	0	0	0	1	2
hsa-miR-302a-3p	0	0	0	0	0	0	0	0	0	0	0	0	0
hsa-miR-302a-5p	0	0	0	0	0	0	0	0	0	0	0	0	0
hsa-miR-302b-3p	0	0	0	0	0	0	0	0	0	0	0	0	0
hsa-miR-302b-5p	0	0	0	0	0	0	0	0	0	0	0	0	0
hsa-miR-302c-3p	0	0	0	0	0	0	0	0	0	0	0	0	0
hsa-miR-302c-5p	0	0	0	0	0	0	0	0	0	0	0	0	0
hsa-miR-302d-3p	0	0	0	0	0	0	0	0	0	0	0	0	0
hsa-miR-302d-5p	0	0	0	0	0	0	0	0	0	0	0	0	0
hsa-miR-302e	0	0	0	0	0	0	0	0	0	0	0	0	0
hsa-miR-302f	0	0	0	0	0	0	0	0	0	0	0	0	0
hsa-miR-3064-3p	1	3	5	1	0	0	4	4	0	0	0	0	2
hsa-miR-3064-5p	4	4	13	3	5	3	2	9	8	4	0	6	7
hsa-miR-3065-3p	0	0	0	0	0	0	0	0	0	0	0	0	0
hsa-miR-3065-5p	0	0	0	0	0	0	0	0	0	0	0	1	0
hsa-miR-3074-3p	0	3	3	5	9	0	1	0	2	0	0	0	2
hsa-miR-3074-5p	0	0	0	0	0	0	0	0	0	0	0	0	0
hsa-miR-30a-3p	0	2	1	0	3	3	0	2	2	1	0	0	1
hsa-miR-30a-5p	0	40	22	10	15	17	3	51	6	10	0	22	35
hsa-miR-30b-3p	4	28	24	20	12	17	6	43	34	5	0	26	36
hsa-miR-30b-5p	1	99	33	34	11	58	13	148	34	88	0	18	237
hsa-miR-30c-1-3p	0	0	1	0	0	1	1	3	0	0	0	3	3
hsa-miR-30c-2-3p	0	0	0	0	0	0	0	0	0	0	0	0	0
hsa-miR-30c-5p	4	16	9	5	4	2	1	10	3	4	0	7	14
hsa-miR-30d-3p	1	22	3	11	17	19	2	23	1	10	0	7	60
hsa-miR-30d-5p	476	13184	15479	10379	5472	9713	1616	22991	7764	4683	131	9810	19003
hsa-miR-30e-3p	40	683	386	316	249	272	110	534	259	139	3	170	886
hsa-miR-30e-5p	113	9361	3898	1105	2542	1376	499	2965	1967	1837	44	2741	7447
hsa-miR-31-3p	0	0	1	1	0	2	1	5	0	0	0	0	2
hsa-miR-31-5p	0	20	18	57	0	67	24	318	33	54	0	18	196
hsa-miR-3115	0	0	0	0	0	0	0	0	0	0	0	0	0
hsa-miR-3116	0	0	0	0	0	0	0	0	0	0	0	0	0
hsa-miR-3117-3p	0	0	0	0	0	0	0	0	0	0	0	0	0
hsa-miR-3117-5p	0	0	0	0	0	0	0	0	0	0	0	0	0
hsa-miR-3118	0	0	0	0	0	0	0	0	0	0	0	0	0
hsa-miR-3119	0	0	0	0	0	0	0	0	0	0	0	0	0
hsa-miR-3120-3p	0	0	0	0	0	0	0	0	0	0	0	0	0
hsa-miR-3120-5p	0	0	0	0	0	0	0	0	0	0	0	0	0
hsa-miR-3121-3p	0	1	2	3	2	0	0	0	0	0	0	2	1
hsa-miR-3121-5p	0	0	0	0	0	0	0	0	0	0	0	0	0
hsa-miR-3122	0	0	0	1	0	0	0	0	0	0	0	0	0
hsa-miR-3123	0	0	0	0	0	0	0	0	0	0	0	0	0
hsa-miR-3124-3p	0	0	0	0	0	0	0	0	0	0	0	0	0
hsa-miR-3124-5p	0	1	0	1	0	2	0	3	0	0	0	0	2
hsa-miR-3125	0	0	0	0	0	1	0	0	0	0	0	0	0
hsa-miR-3126-3p	0	0	0	0	0	0	0	0	0	0	2	0	0
hsa-miR-3126-5p	0	0	0	0	0	0	0	0	0	0	0	0	0
hsa-miR-3127-3p	0	2	3	1	0	0	0	0	0	0	0	1	0
hsa-miR-3127-5p	0	2	4	1	0	0	1	6	3	2	0	3	2
hsa-miR-3128	1	0	1	0	0	1	0	0	0	0	0	1	0
hsa-miR-3129-3p	0	0	1	0	0	1	0	0	0	0	0	0	3
hsa-miR-3129-5p	0	0	0	0	0	0	0	0	0	0	0	0	1
hsa-miR-3130-3p	0	0	0	0	0	0	0	0	0	0	0	0	0
hsa-miR-3130-5p	0	0	0	0	0	0	0	0	0	0	0	0	0
hsa-miR-3131	0	0	0	0	0	0	0	0	0	0	0	0	0
hsa-miR-3132	0	0	0	0	0	0	0	0	0	0	0	0	0
hsa-miR-3133	0	0	0	0	0	0	0	0	0	0	0	0	0
hsa-miR-3134	0	0	0	0	0	0	0	0	0	0	0	0	0
hsa-miR-3135a	1	1	4	1	2	0	0	1	0	0	0	1	0
hsa-miR-3135b	0	0	0	0	0	0	0	0	0	0	0	0	0
hsa-miR-3136-3p	0	0	0	0	0	0	0	0	0	0	0	0	0
hsa-miR-3136-5p	0	0	3	1	1	1	0	0	0	0	0	0	2
hsa-miR-3137	0	0	0	2	0	0	0	0	0	0	0	0	0
hsa-miR-3138	0	0	7	1	8	0	1	1	1	2	0	5	1
hsa-miR-3139	0	0	0	0	0	0	0	0	0	0	0	0	0
hsa-miR-3140-3p	0	3	1	2	2	0	0	1	1	1	0	4	1
hsa-miR-3140-5p	0	0	0	0	0	0	0	0	0	0	0	1	0
hsa-miR-3141	0	0	0	0	0	0	0	0	0	0	0	0	0
hsa-miR-3142	0	0	0	0	0	0	0	0	0	0	0	0	0
hsa-miR-3143	0	3	0	0	3	0	0	2	1	0	0	1	1
hsa-miR-3144-3p	0	1	0	0	0	0	0	0	0	0	0	0	0
hsa-miR-3144-5p	0	0	0	0	0	0	0	0	0	0	0	0	0
hsa-miR-3145-3p	0	0	0	0	0	0	0	0	0	0	0	0	0
hsa-miR-3145-5p	0	0	0	0	0	0	0	0	0	0	0	0	0
hsa-miR-3146	0	0	0	1	0	1	0	0	0	0	0	2	0
hsa-miR-3147	0	0	0	0	0	0	0	0	0	0	0	0	0
hsa-miR-3148	0	0	0	2	1	1	0	1	0	2	0	0	0
hsa-miR-3149	0	1	1	0	0	0	0	2	0	0	0	0	0
hsa-miR-3150a-3p	0	0	0	0	0	0	0	0	0	0	0	0	0
hsa-miR-3150a-5p	0	0	0	0	0	0	0	0	0	0	0	0	0
hsa-miR-3150b-3p	0	0	0	0	0	0	0	0	0	0	0	0	0
hsa-miR-3150b-5p	0	0	0	0	0	0	0	0	0	0	0	0	0
hsa-miR-3151-3p	0	0	0	0	0	0	0	0	0	0	0	0	0
hsa-miR-3151-5p	0	0	2	0	0	0	0	0	0	0	0	0	0
hsa-miR-3152-3p	0	0	0	0	0	0	0	0	0	0	0	0	0
hsa-miR-3152-5p	0	0	0	0	0	0	0	0	0	0	0	0	0
hsa-miR-3153	0	0	0	0	0	0	0	0	0	0	0	1	0
hsa-miR-3154	0	0	0	0	0	0	0	0	0	0	0	0	0
hsa-miR-3155a	0	0	0	0	0	1	0	0	0	0	0	1	0
hsa-miR-3155b	0	2	0	2	2	0	0	0	0	0	0	0	2
hsa-miR-3156-3p	0	0	0	0	0	0	0	0	0	0	0	0	0
hsa-miR-3156-5p	0	0	0	0	0	0	0	0	0	0	0	0	0
hsa-miR-3157-3p	1	1	1	0	0	1	0	2	2	0	0	0	0
hsa-miR-3157-5p	0	1	0	0	1	0	0	0	0	0	0	0	0
hsa-miR-3158-3p	0	0	0	0	0	0	0	0	0	0	0	0	0
hsa-miR-3158-5p	0	0	0	0	0	0	0	0	0	0	0	0	0
hsa-miR-3159	0	1	0	0	1	0	0	2	0	0	0	0	0
hsa-miR-3160-3p	0	0	0	0	0	0	0	0	0	0	0	0	0
hsa-miR-3160-5p	0	0	0	0	0	0	0	0	0	0	0	0	0
hsa-miR-3161	1	0	0	0	0	0	0	0	0	0	0	4	0
hsa-miR-3162-3p	0	0	0	0	1	0	0	0	0	0	0	0	0
hsa-miR-3162-5p	0	0	0	1	0	0	0	0	0	0	0	0	0
hsa-miR-3163	0	0	0	0	0	0	0	0	0	0	0	0	0
hsa-miR-3164	1	0	2	4	5	0	0	0	0	1	0	0	0
hsa-miR-3165	0	1	0	1	1	0	0	0	0	0	0	0	0
hsa-miR-3166	0	0	0	0	0	0	0	0	0	0	0	0	0
hsa-miR-3167	0	0	0	0	0	0	0	0	0	0	0	0	0
hsa-miR-3168	2	0	4	1	3	1	0	2	7	9	12	7	2
hsa-miR-3169	0	0	0	0	0	0	0	0	0	0	0	0	0
hsa-miR-3170	0	0	0	0	0	0	0	0	0	0	0	0	0
hsa-miR-3171	0	0	0	0	0	0	0	0	0	0	0	0	0
hsa-miR-3173-3p	1	2	2	1	0	0	0	0	0	0	0	0	0
hsa-miR-3173-5p	6	3	5	5	4	6	1	13	12	1	1	5	5
hsa-miR-3174	0	1	1	1	1	0	0	0	0	0	0	1	0
hsa-miR-3175	0	0	0	0	3	0	0	2	1	0	0	0	0
hsa-miR-3176	0	4	2	1	4	0	0	2	0	0	0	0	0
hsa-miR-3177-3p	1	7	7	7	15	0	0	6	6	2	0	17	3
hsa-miR-3177-5p	0	0	0	0	0	0	0	0	0	0	0	0	0
hsa-miR-3178	0	0	0	0	0	0	0	0	0	0	0	0	0
hsa-miR-3179	0	0	0	0	0	0	0	0	0	0	0	0	0
hsa-miR-3180	0	0	0	0	0	0	0	0	0	0	0	0	0
hsa-miR-3180-3p	0	0	0	0	0	0	0	0	0	0	0	0	0
hsa-miR-3180-5p	0	0	0	0	0	0	0	0	0	0	0	0	0
hsa-miR-3181	0	0	1	1	0	0	0	0	0	0	0	2	0
hsa-miR-3182	0	0	0	0	0	0	0	0	0	0	0	0	0
hsa-miR-3183	0	0	0	0	0	0	0	0	0	0	0	0	0
hsa-miR-3184-3p	0	0	0	0	0	0	0	0	0	0	0	0	0
hsa-miR-3184-5p	0	0	0	0	0	0	0	0	0	0	0	0	0
hsa-miR-3185	0	0	0	0	0	0	0	0	0	0	0	0	0
hsa-miR-3186-3p	0	0	0	0	0	0	0	0	0	0	0	0	0
hsa-miR-3186-5p	0	0	0	0	0	0	0	0	0	0	0	0	0
hsa-miR-3187-3p	1	6	14	14	15	2	2	3	5	3	1	17	1
hsa-miR-3187-5p	0	0	0	0	1	1	0	1	0	0	0	0	0
hsa-miR-3188	1	1	2	0	0	1	1	3	5	0	0	4	1
hsa-miR-3189-3p	0	0	0	0	0	0	0	0	0	0	0	0	0
hsa-miR-3189-5p	0	0	0	0	0	0	0	0	0	0	0	0	0
hsa-miR-3190-3p	0	0	0	0	0	0	0	0	0	0	0	0	0
hsa-miR-3190-5p	0	0	0	0	0	0	0	0	0	0	0	0	0
hsa-miR-3191-3p	0	0	0	0	0	0	0	0	0	0	0	0	0
hsa-miR-3191-5p	0	0	0	0	0	0	0	0	0	0	0	0	0
hsa-miR-3192-3p	0	1	0	1	0	1	0	0	0	0	0	2	0
hsa-miR-3192-5p	1	0	0	1	0	2	0	0	1	0	0	0	0
hsa-miR-3193	0	0	0	0	0	0	0	0	0	0	0	0	0
hsa-miR-3194-3p	0	3	3	1	0	0	0	2	1	0	0	1	1
hsa-miR-3194-5p	0	0	0	0	0	1	0	0	0	0	0	0	0
hsa-miR-3195	0	0	0	0	0	0	0	0	0	0	0	0	0
hsa-miR-3196	0	0	0	0	0	0	0	0	0	0	0	0	0
hsa-miR-3197	0	0	0	0	0	0	0	0	0	0	0	0	0
hsa-miR-3198	0	0	0	1	0	0	1	0	0	0	0	0	0
hsa-miR-3199	0	1	1	0	0	1	0	2	1	3	0	0	2
hsa-miR-32-3p	1	9	6	4	5	4	0	1	3	1	0	2	4
hsa-miR-32-5p	11	448	195	16	55	66	21	74	31	72	0	60	277
hsa-miR-3200-3p	0	1	0	0	1	0	0	0	0	0	0	2	0
hsa-miR-3200-5p	0	0	0	0	0	0	0	0	0	0	0	0	0
hsa-miR-3201	0	0	0	0	0	0	0	0	0	0	0	0	0
hsa-miR-3202	0	2	0	2	0	1	0	5	2	0	0	0	6
hsa-miR-320a	513	3387	4738	5931	2796	7658	2065	17096	6573	2952	59	5487	10175
hsa-miR-320b	0	0	8	13	2	12	2	44	14	8	0	2	20
hsa-miR-320c	0	0	5	7	0	4	2	15	11	8	1	3	11
hsa-miR-320d	0	0	1	0	0	2	0	1	0	0	0	1	1
hsa-miR-320e	0	3	1	1	3	3	1	9	2	1	0	2	7
hsa-miR-323a-3p	0	0	0	0	0	0	0	0	0	0	0	2	0
hsa-miR-323a-5p	0	0	0	0	0	0	0	0	0	0	0	0	0
hsa-miR-323b-3p	0	0	0	0	0	0	0	0	0	0	0	3	0
hsa-miR-323b-5p	0	0	0	0	0	0	0	0	0	0	0	0	0
hsa-miR-324-3p	0	0	0	0	1	0	1	0	0	0	0	0	0
hsa-miR-324-5p	0	17	4	4	5	4	2	6	1	0	0	3	5
hsa-miR-325	0	0	0	0	0	0	0	0	0	0	0	0	0
hsa-miR-326	0	3	0	0	1	0	0	1	0	0	0	1	0
hsa-miR-328-3p	28	179	272	200	82	410	56	684	138	119	1	152	511
hsa-miR-328-5p	0	0	0	0	0	0	0	1	0	0	0	0	0
hsa-miR-329-3p	0	0	0	0	0	0	0	0	0	0	0	0	0
hsa-miR-329-5p	0	0	0	0	0	0	0	0	0	0	0	0	0
hsa-miR-330-3p	17	108	130	255	128	88	20	283	168	51	0	179	90
hsa-miR-330-5p	9	86	70	39	28	6	5	61	31	11	0	53	31
hsa-miR-331-3p	0	13	4	4	5	4	0	1	0	2	0	3	1
hsa-miR-331-5p	1	6	2	8	6	3	0	6	3	4	0	5	6
hsa-miR-335-3p	1	7	4	7	6	15	2	8	5	5	0	27	62
hsa-miR-335-5p	0	3	3	12	1	4	1	4	7	2	0	5	35
hsa-miR-337-3p	0	0	0	0	0	0	0	0	0	0	0	0	0
hsa-miR-337-5p	0	0	0	0	0	0	0	0	0	0	0	0	0
hsa-miR-338-3p	0	0	0	0	0	0	0	0	0	0	0	0	0
hsa-miR-338-5p	0	0	0	0	0	0	0	0	0	0	0	0	0
hsa-miR-339-3p	1	108	86	98	73	89	25	307	105	76	0	84	440
hsa-miR-339-5p	1	21	19	20	13	22	1	42	19	12	0	32	40
hsa-miR-33a-3p	3	87	47	35	41	55	6	23	6	6	0	7	131
hsa-miR-33a-5p	1	37	26	8	6	18	6	21	8	2	0	7	37
hsa-miR-33b-3p	1	0	1	3	8	1	0	7	1	1	0	0	1
hsa-miR-33b-5p	0	2	1	0	0	0	0	0	0	1	0	0	0
hsa-miR-340-3p	1	33	14	14	13	15	3	17	7	4	0	11	33
hsa-miR-340-5p	5	318	94	54	52	39	27	72	28	58	7	92	344
hsa-miR-342-3p	129	1025	811	1654	285	2304	254	6110	839	573	7	270	2788
hsa-miR-342-5p	734	1139	4259	3948	1191	3690	1581	7683	6300	2839	82	1799	6479
hsa-miR-345-3p	0	0	0	0	0	0	0	0	0	0	0	0	0
hsa-miR-345-5p	0	8	7	2	6	0	0	15	4	0	0	9	4
hsa-miR-346	0	0	0	0	0	0	0	0	0	0	0	0	0
hsa-miR-34a-3p	0	2	0	0	1	0	0	0	0	0	0	0	0
hsa-miR-34a-5p	0	2	7	4	17	1	1	10	6	3	0	31	5
hsa-miR-34b-3p	0	0	2	1	0	0	0	2	0	0	0	3	0
hsa-miR-34b-5p	0	0	0	0	0	0	0	0	0	0	0	0	0
hsa-miR-34c-3p	0	0	0	4	0	0	0	1	0	0	0	3	1
hsa-miR-34c-5p	0	10	4	12	0	2	1	13	11	8	0	51	35
hsa-miR-3529-3p	0	0	0	0	0	0	0	0	0	0	0	0	0
hsa-miR-3529-5p	0	0	0	0	0	0	0	0	0	0	0	0	0
hsa-miR-3591-3p	0	0	0	0	0	0	0	0	0	0	0	0	0
hsa-miR-3591-5p	0	0	0	0	0	0	0	0	0	0	0	0	0
hsa-miR-3605-3p	1	5	14	15	5	14	6	14	9	8	0	13	13
hsa-miR-3605-5p	1	2	1	1	1	0	0	3	2	0	0	2	1
hsa-miR-3606-3p	0	0	0	0	0	0	0	0	0	0	0	0	0
hsa-miR-3606-5p	0	0	0	0	0	0	0	0	0	0	0	0	0
hsa-miR-3607-3p	176	773	826	1474	292	3909	2112	8532	1700	772	18	333	1534
hsa-miR-3607-5p	5	7	5	2	1	14	4	18	6	3	0	0	5
hsa-miR-3609	22	44	25	31	10	92	110	308	98	39	0	34	128
hsa-miR-361-3p	63	1151	956	1185	479	1441	264	3989	1169	536	19	669	2152
hsa-miR-361-5p	15	125	84	70	54	63	14	149	45	35	1	76	140
hsa-miR-3610	0	0	0	0	1	0	0	0	0	0	0	0	0
hsa-miR-3611	0	2	0	0	3	1	0	0	0	0	0	2	4
hsa-miR-3612	0	0	0	0	0	0	0	0	0	0	0	0	0
hsa-miR-3613-3p	1	0	0	0	1	1	0	1	0	0	0	1	0
hsa-miR-3613-5p	5	44	14	2	14	2	2	10	8	2	0	2	12
hsa-miR-3614-3p	0	2	0	1	0	0	0	1	0	0	0	0	2
hsa-miR-3614-5p	0	7	17	17	9	1	0	4	6	1	0	1	1
hsa-miR-3615	61	635	700	342	397	199	41	357	184	41	2	304	235
hsa-miR-3616-3p	0	0	0	0	0	0	0	0	0	0	0	0	0
hsa-miR-3616-5p	0	0	0	0	0	0	0	0	0	0	0	0	0
hsa-miR-3617-3p	0	0	0	0	0	0	0	0	0	0	0	0	0
hsa-miR-3617-5p	0	0	0	0	0	0	0	0	0	0	0	1	0
hsa-miR-3618	0	0	0	0	0	0	0	0	0	0	0	0	0
hsa-miR-3619-3p	0	0	0	0	0	0	0	0	0	1	0	0	0
hsa-miR-3619-5p	0	2	0	0	0	0	0	0	0	0	0	0	0
hsa-miR-362-3p	0	0	0	0	0	1	0	0	0	0	0	0	0
hsa-miR-362-5p	0	14	8	19	22	4	2	11	4	4	0	25	12
hsa-miR-3620-3p	0	0	0	0	0	0	0	0	0	0	0	0	0
